Team,SOS
Duke,9.18
Auburn,18.15
Houston,12.79
Florida,12.18
Tennessee,14.64
Alabama,18.03
Texas Tech,10.75
Gonzaga,6.93
Michigan St.,12.55
Wisconsin,13.14
Iowa St.,11.82
Missouri,11.21
Arizona,15.34
Maryland,9.7
Purdue,15.92
St. John's,8.36
Clemson,8.62
Kentucky,17.85
Saint Mary's,5.52
Kansas,14.39
Texas A&M,16.01
Illinois,15.42
Marquette,11.25
Louisville,10.3
Michigan,12.92
BYU,9.8
Mississippi,14.19
UCLA,12.23
VCU,0.69
Baylor,15.34
Mississippi St.,15.12
Ohio St.,14.69
Oregon,14.2
Georgia,13.79
UC San Diego,-1.34
Connecticut,10.35
Creighton,12
Vanderbilt,12.84
North Carolina,11.61
New Mexico,6.38
San Diego St.,8.7
Arkansas,13.4
Xavier,9.53
Indiana,12.97
Oklahoma,13.76
SMU,6.15
Memphis,7.82
Northwestern,11.56
Boise St.,5.92
Cincinnati,11.64
Texas,12.61
Nebraska,12.41
West Virginia,14.21
Villanova,7.96
Santa Clara,5.28
Utah St.,6.37
Colorado St.,5.45
Pittsburgh,9.96
Drake,0.29
North Texas,2.47
McNeese,-1.36
USC,12.27
Penn St.,9.24
San Francisco,3.49
Arizona St.,15.23
Kansas St.,12.73
South Carolina,14.1
Utah,10.27
Rutgers,13.38
UC Irvine,0.62
Butler,10.84
Yale,-2.45
Liberty,0.18
Iowa,11.21
Saint Joseph's,1.08
Nevada,5.16
Wake Forest,7.8
LSU,12.91
Dayton,4.57
UCF,12.24
Oregon St.,1.76
TCU,13.57
George Mason,1.21
Lipscomb,-3.44
Georgetown,6.66
Stanford,4.8
Arkansas St.,-2.44
High Point,-5.16
Minnesota,11.2
Florida St.,6.69
UNLV,5.88
Providence,10.32
Notre Dame,7.83
Colorado,12.65
Georgia Tech,6.38
Bradley,0.24
Northern Iowa,0.27
Oklahoma St.,12
Grand Canyon,-2.63
CSUN,-2.17
St. Bonaventure,1.66
Virginia,9.67
Akron,-3.21
Washington,12.81
Saint Louis,3.76
UAB,-2.23
Samford,-2.48
UNC Wilmington,-4.09
Troy,-2.51
Chattanooga,-2.17
Florida Atlantic,3.55
Jacksonville St.,2.35
Louisiana Tech,1.81
North Alabama,-5.2
South Alabama,-3.88
California,6.37
Middle Tennessee,3.58
George Washington,-1.97
Kent St.,-2.6
South Dakota St.,-1.22
Washington St.,4.69
Utah Valley,-1.24
Syracuse,8.53
St. Thomas,-2.68
North Dakota St.,-2.49
N.C. State,7.46
Loyola Chicago,0.33
Wichita St.,1.63
UNC Greensboro,-1.29
Northern Colorado,-3.29
Wofford,0.22
East Tennessee St.,-3.03
Duquesne,1.49
New Mexico St.,2.42
