,Team,EffHgt,C-Hgt,Bench,Continuity,Experience
0,Duke,+2.1,+2.7,31.0,20.9,1.96
1,Elon,+3.3,+4.5,31.5,43.4,1.19
2,Utah,+2.2,+2.1,40.8,33.3,2.04
3,Florida St.,+2.1,+1.9,37.0,26.1,1.34
4,Michigan,+3.2,+3.3,29.1,21.8,2.26
5,Bryant,+0.5,+0.2,22.8,43.0,2.62
6,Creighton,+2.9,+3.1,27.1,46.4,2.65
7,Nevada,+1.5,+0.6,33.9,43.3,2.92
8,Georgia,+1.6,+1.6,31.8,28.7,1.86
9,Loyola Marymount,+1.8,+2.2,29.1,36.9,2.56
10,Indiana,+1.7,+1.8,30.9,40.9,2.28
11,Butler,+1.8,+2.2,25.9,57.4,2.88
12,Colorado,+1.4,+1.0,42.3,16.5,1.32
13,Illinois,+1.8,+2.1,30.9,2.8,1.08
14,Portland,+2.1,+1.9,30.6,35.8,1.92
15,Monmouth,+0.8,+1.0,27.6,41.9,1.70
16,Rutgers,+1.3,+0.6,38.8,15.1,1.57
17,Arkansas,+2.2,+3.0,35.2,9.3,1.57
18,Stanford,+2.4,+3.3,25.5,24.1,1.39
19,Pepperdine,+1.4,+0.6,24.8,3.7,1.19
20,Georgetown,+1.5,+1.2,26.9,20.4,1.78
21,Kentucky,+1.4,+1.2,39.4,0.0,3.05
22,Cincinnati,+1.4,+1.9,34.5,59.9,2.19
23,Montana St.,-0.1,-0.5,40.8,45.2,2.12
24,New Mexico,+1.4,+0.6,27.3,48.6,2.48
25,Pittsburgh,+1.9,+1.9,24.1,50.0,2.68
26,Auburn,+0.8,+1.1,33.9,54.8,2.80
27,Santa Clara,+1.4,+1.7,35.2,69.0,2.13
28,USC,-0.4,-0.8,25.8,0.3,2.51
29,Saint Mary's,+1.3,+1.5,19.3,46.8,1.69
30,Davidson,+0.5,+0.7,24.2,54.0,1.91
31,Washington St.,+1.5,+1.3,30.6,4.5,1.68
32,BYU,+0.4,-0.1,41.8,40.8,1.93
33,Virginia,+1.4,+1.2,32.5,41.7,1.52
34,Marquette,+0.8,+0.7,26.1,65.8,2.08
35,Long Beach St.,+1.4,+1.0,29.4,4.1,1.62
36,Evansville,+1.4,+0.8,24.4,29.5,1.25
37,Binghamton,-0.6,-1.4,24.1,44.5,1.86
38,Northwestern,+1.0,+2.1,32.9,51.3,2.23
39,St. Bonaventure,+0.8,+1.3,17.4,7.0,1.31
41,Missouri,+1.4,+1.2,37.9,28.1,2.67
42,Seton Hall,+0.1,-0.0,40.3,20.4,1.74
43,Arizona St.,+1.3,+0.9,29.2,17.0,2.05
44,Nebraska,+1.1,+1.5,32.9,36.5,2.79
45,Georgia St.,+0.6,+0.4,21.3,16.4,1.74
46,St. John's,+0.3,+0.5,25.7,19.5,2.35
47,Air Force,+0.4,+1.1,28.9,48.8,1.79
48,Connecticut,+0.7,+0.6,30.4,44.4,1.75
49,SMU,+2.2,+3.2,33.7,28.8,2.78
50,Weber St.,+0.7,+1.3,36.7,40.1,1.70
51,San Diego St.,+1.8,+1.7,33.9,12.1,1.53
52,Grand Canyon,+0.6,+0.2,30.2,58.1,2.62
53,Tulane,+0.0,-0.8,21.1,9.3,0.88
54,Little Rock,+0.1,-0.4,17.4,11.5,1.15
55,Iowa,+0.4,-0.1,33.0,50.7,1.80
56,Belmont,+0.7,-0.4,28.7,24.7,1.39
57,UCLA,+1.2,+1.5,35.5,34.4,2.23
58,VCU,+1.4,+0.6,33.4,51.8,2.66
59,Alabama,+2.4,+1.6,38.5,43.8,2.99
60,Penn St.,+1.0,+1.0,29.5,57.1,2.49
61,UCF,+1.8,+3.1,29.1,22.1,2.21
62,Utah Valley,+0.5,+0.2,36.2,34.0,0.78
63,Boise St.,-0.1,-0.7,31.6,33.4,2.13
64,Texas,+0.5,+0.9,32.0,17.2,2.85
65,Northern Iowa,+0.4,+0.4,29.9,47.0,1.76
66,Georgia Tech,+0.8,+0.4,28.9,27.9,1.90
67,Louisville,+1.0,+1.6,23.3,0.1,3.18
68,Wisconsin,+1.4,+2.3,31.3,46.3,2.60
69,Iowa St.,+1.2,+0.9,29.9,55.5,2.81
70,Old Dominion,-0.0,+0.5,25.8,18.8,1.41
71,Rice,+1.0,+1.1,37.6,18.5,1.85
72,UNC Wilmington,+0.5,+1.1,37.7,35.4,2.64
73,San Diego,+1.9,+1.1,41.2,24.4,0.54
74,Kansas,+1.9,+3.5,28.3,44.5,3.64
75,Hawaii,+1.3,+0.6,40.8,25.0,1.58
76,Louisiana Monroe,+1.0,+1.5,23.2,59.1,1.67
77,Clemson,+1.5,+1.6,26.5,46.3,3.02
78,Michigan St.,+1.7,+2.0,40.9,46.6,1.61
79,Florida,+1.7,+1.5,29.7,53.7,2.42
80,Washington,+0.5,+0.1,34.1,10.5,2.50
82,Queens,+0.4,+0.9,33.9,44.2,1.75
83,Arizona,+0.4,+0.8,29.6,38.1,2.72
84,UNLV,+0.6,+1.8,29.2,24.1,2.12
85,Vermont,-0.1,-0.9,29.2,62.3,2.41
86,Furman,+1.3,+1.6,29.9,44.5,1.23
87,TCU,+0.6,+0.7,35.0,7.3,1.92
88,Stephen F. Austin,-0.1,-0.0,32.7,46.0,1.69
89,UC Santa Barbara,+1.0,+1.1,30.3,36.2,2.57
