team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
Abilene Christian,WAC,69.2,98.9,103.1,47.4,20.5,29.1,38.9,51.7,24.0,31.6,50.8,-0.6,-0.4,34.6,34.8,1.35,29.5,71.4,25.8,-1.05
Air Force,MWC,64.5,99.9,112.1,50.4,20.8,23.4,36.2,54.5,16.1,29.1,34.9,0.5,1.2,26.8,48.5,1.79,33.7,64.0,47.2,4.33
Akron,MAC,72.3,112.2,106.1,54.6,17.1,32.2,25.6,49.0,17.1,28.4,33.9,-2.7,-1.9,39.4,23.9,1.4,35.6,74.2,45.6,-3.21
Alabama,SEC,75.0,127.3,97.9,56.6,17.2,36.1,41.1,47.1,13.6,29.4,33.0,2.4,1.6,38.2,44.2,2.99,35.1,72.0,47.2,18.03
Alabama A&M,SWAC,72.0,93.3,115.7,45.3,21.9,34.7,39.6,54.1,21.4,35.4,48.0,0.1,0.6,44.1,34.0,0.86,30.3,66.5,41.4,-9.48
Alabama St.,SWAC,68.1,102.5,113.3,47.4,13.0,27.9,30.7,51.2,18.5,31.9,39.6,-0.4,0.9,38.0,57.0,1.6,32.5,69.9,43.2,-8.19
Albany,AE,67.7,103.4,111.8,49.4,15.9,32.0,29.9,54.6,20.3,28.8,35.3,-1.8,-1.6,24.2,16.9,2.29,31.0,72.9,35.5,-7.04
Alcorn St.,SWAC,65.1,99.5,111.9,46.1,19.9,33.6,30.9,52.7,18.2,33.4,32.3,-1.4,-1.8,36.5,23.5,0.93,32.7,72.0,30.3,-1.46
American,PL,63.6,102.3,109.5,51.2,16.8,24.1,29.8,52.3,17.4,27.7,36.4,-0.5,-0.5,33.1,74.3,2.52,34.4,76.1,45.2,-5.59
Appalachian St.,SB,63.6,101.8,101.6,50.0,17.0,27.4,35.2,46.1,14.7,29.2,22.3,1.6,1.4,26.0,22.8,2.24,34.1,65.2,41.0,-2.42
Arizona,B12,70.3,120.2,95.0,52.1,16.7,36.7,36.2,47.8,17.6,27.8,28.8,0.7,1.3,31.4,38.4,2.72,31.2,78.0,35.2,15.34
Arizona St.,B12,68.8,112.4,100.1,51.9,18.2,25.1,35.3,49.6,16.6,30.4,30.3,1.2,0.8,27.6,17.0,2.09,36.0,71.8,43.5,15.23
Arkansas,SEC,69.2,111.8,95.0,52.3,16.3,26.9,34.7,48.1,18.2,28.6,28.8,2.1,2.9,33.4,8.3,1.54,33.1,72.9,36.5,13.4
Arkansas Pine Bluff,SWAC,72.1,95.3,122.1,49.9,20.3,26.1,33.1,56.5,16.6,34.6,41.2,0.2,-0.4,44.2,3.7,0.66,30.8,59.5,37.6,-7.52
Arkansas St.,SB,69.9,110.3,101.3,49.5,15.2,34.0,33.5,45.6,17.4,29.7,36.2,-0.5,-0.4,31.6,43.7,2.06,31.7,73.1,44.6,-2.44
Army,PL,67.8,101.5,114.9,50.1,14.8,26.1,26.3,53.4,16.1,29.6,27.5,-1.5,-1.4,28.6,48.6,1.73,31.4,68.6,41.2,-7.46
Auburn,SEC,68.6,130.7,93.1,56.0,13.0,35.2,34.0,45.5,17.4,29.4,39.1,0.8,1.1,34.0,54.7,2.79,37.1,74.7,40.7,18.15
Austin Peay,ASun,66.2,102.8,111.3,48.8,14.5,25.8,28.8,53.4,17.0,31.1,35.8,-1.1,-1.1,33.3,26.7,0.94,34.1,71.1,40.3,-1.32
BYU,B12,67.3,123.5,101.2,57.8,17.0,33.0,29.2,50.5,17.4,24.9,29.2,0.4,-0.2,42.1,40.2,1.92,37.4,68.6,47.8,9.8
Ball St.,MAC,66.3,104.9,114.1,51.8,16.3,26.4,46.2,51.5,14.0,28.3,31.8,0.5,0.5,29.2,27.0,2.41,35.3,70.0,37.3,-6.41
Baylor,B12,65.4,121.1,100.8,52.0,16.4,35.3,31.8,52.0,19.3,30.2,34.3,-0.6,-0.8,29.2,28.1,2.72,35.2,74.2,40.6,15.34
Bellarmine,ASun,66.4,104.4,122.0,53.7,17.4,20.2,26.5,58.0,15.4,30.2,34.8,-1.3,-1.9,43.9,27.7,1.33,35.6,76.6,43.2,-3.19
Belmont,MVC,70.7,114.2,111.4,55.2,15.7,27.2,26.3,54.4,17.7,29.9,26.7,0.7,-0.4,28.9,24.8,1.39,38.7,71.5,44.8,0.13
Bethune Cookman,SWAC,69.1,98.1,107.8,48.7,20.2,28.9,36.0,48.8,16.7,30.4,32.4,-0.8,-1.4,31.8,18.5,1.62,31.5,69.5,33.8,-3.5
Binghamton,AE,65.9,99.7,112.8,52.1,20.0,26.7,32.9,49.8,12.6,26.4,33.2,-0.6,-1.4,24.8,44.5,1.85,36.2,69.3,36.2,-6.22
Boise St.,MWC,65.9,116.7,100.3,52.9,17.1,33.3,39.0,49.3,16.2,23.0,30.4,0.0,-0.6,31.2,33.6,2.13,32.1,77.6,41.3,5.92
Boston College,ACC,66.8,105.2,106.7,49.0,17.5,29.0,31.0,51.4,15.5,29.2,37.1,-0.6,-0.4,36.7,14.7,1.77,35.1,72.3,32.7,4.89
Boston University,PL,63.2,99.1,110.9,50.0,20.3,32.0,30.6,52.2,16.7,22.8,31.2,0.4,0.9,37.3,63.2,1.36,32.7,66.1,42.4,-7.48
Bowling Green,MAC,69.2,100.1,110.9,49.7,16.9,25.5,34.3,52.8,18.0,28.4,30.4,-0.2,0.0,29.7,22.6,1.3,33.5,75.3,40.1,-5.95
Bradley,MVC,66.1,112.4,104.7,57.2,17.7,26.9,31.1,48.2,15.8,27.5,35.3,1.1,1.2,29.2,59.9,1.99,40.9,77.2,42.4,0.24
Brown,Ivy,66.1,104.1,107.6,51.6,16.9,29.7,28.1,49.2,15.7,30.8,28.6,-1.7,-1.8,30.2,43.5,1.71,33.3,62.7,40.1,-3.36
Bryant,AE,72.4,107.5,107.2,50.7,16.2,33.3,30.8,48.2,16.4,29.8,29.9,0.5,0.2,22.7,43.0,2.62,33.6,71.1,35.6,-4.92
Bucknell,PL,67.7,103.1,107.3,53.8,18.8,26.1,36.0,50.4,17.1,27.8,34.2,0.9,1.7,27.0,62.4,1.73,35.3,66.3,41.0,-6.42
Buffalo,MAC,71.3,96.4,113.9,49.0,19.6,24.5,33.1,53.8,16.5,31.3,31.9,0.5,0.3,31.1,31.0,0.71,30.6,69.1,44.1,-3.32
Butler,BE,67.9,116.7,105.2,53.2,16.9,27.5,39.4,48.8,11.2,27.9,21.8,1.7,2.2,26.1,57.3,2.89,36.7,74.2,40.4,10.84
CSUN,BW,72.3,110.1,103.8,52.1,19.0,35.6,35.3,49.8,20.9,23.4,45.6,-0.8,-1.1,29.0,28.7,1.82,34.4,73.7,31.1,-2.17
Cal Baptist,WAC,66.3,106.9,107.1,48.4,17.5,33.4,29.9,50.7,18.0,29.2,33.8,-0.1,0.1,36.1,25.8,2.14,30.8,75.9,34.4,-0.47
Cal Poly,BW,74.8,108.1,111.5,54.1,21.6,27.8,28.0,53.1,18.7,34.2,32.2,-2.3,-2.6,30.3,19.6,0.87,34.3,77.1,50.8,3.02
Cal St. Bakersfield,BW,66.2,107.0,113.4,48.3,19.1,35.4,35.5,54.7,19.0,29.8,47.6,-1.6,-2.2,32.9,38.9,1.4,37.6,77.1,28.3,0.27
Cal St. Fullerton,BW,68.3,95.6,113.7,44.2,21.2,26.3,40.0,54.2,16.4,30.3,34.8,0.1,0.2,43.2,28.6,0.96,26.8,74.0,33.5,2.86
California,ACC,67.9,111.4,107.2,48.2,16.9,34.9,38.4,52.6,16.2,29.6,31.5,0.1,-0.0,33.3,0.4,2.31,32.2,74.7,37.8,6.37
Campbell,CAA,66.3,102.8,106.3,50.2,15.8,24.4,30.1,52.3,19.0,27.3,30.6,-0.6,-1.0,28.9,29.9,1.63,32.2,76.5,42.3,-3.52
Canisius,MAAC,66.1,100.8,122.9,51.8,18.4,18.2,23.8,57.3,16.5,34.8,31.3,-0.9,-1.4,22.4,12.6,1.21,37.2,75.3,41.0,-4.17
Central Arkansas,ASun,66.5,98.1,116.4,47.4,18.3,29.0,29.1,56.7,16.8,30.2,22.8,0.4,0.1,36.0,16.5,0.68,29.8,71.4,47.6,-1.98
Central Connecticut,NEC,66.1,101.9,102.6,52.3,16.7,26.7,26.4,48.1,18.1,25.1,18.2,-0.7,-1.3,31.2,50.7,1.63,32.3,73.6,34.1,-10.14
Central Michigan,MAC,67.6,106.8,109.2,49.8,17.6,32.3,34.6,53.3,17.9,29.2,31.3,-0.3,0.2,19.7,27.9,1.55,31.2,73.7,34.0,-0.96
Charleston,CAA,70.7,107.0,106.2,52.5,16.1,26.2,33.8,50.3,16.7,28.2,27.0,0.9,1.1,28.1,24.5,2.11,35.3,71.1,39.8,-2.17
Charleston Southern,BSth,67.6,100.7,111.9,48.8,19.8,31.2,44.6,53.2,13.6,28.3,33.7,0.1,0.3,20.4,33.1,2.25,30.9,66.4,41.9,0.59
