,Team,3P%,FT%,3PA%
0,Bradley,40.9,77.2,42.4
1,Villanova,40.3,81.5,43.6
2,Houston,39.8,74.0,34.0
3,North Dakota St.,39.6,79.2,54.1
4,UC Santa Barbara,39.2,77.4,46.2
5,Wright St.,38.8,69.5,37.3
6,Xavier,38.7,79.0,37.7
7,Memphis,38.7,71.1,34.0
8,Belmont,38.7,71.5,44.8
9,Duke,38.6,78.2,45.2
10,Sam Houston St.,38.6,73.0,38.2
11,Clemson,38.4,77.0,39.2
12,SMU,38.4,72.9,35.8
13,St. Thomas,38.3,78.4,46.5
14,Purdue,38.3,72.7,37.9
15,Liberty,38.2,64.5,47.5
16,UMBC,38.1,70.4,38.6
17,Holy Cross,38.1,71.7,42.4
18,Yale,38.0,74.0,31.8
19,Santa Clara,37.8,72.7,46.5
20,Virginia,37.7,75.2,43.2
21,Missouri,37.6,72.6,41.8
22,Iowa,37.6,70.5,41.2
23,Cal St. Bakersfield,37.6,77.1,28.3
24,Ohio St.,37.5,75.2,37.0
25,Howard,37.5,76.3,38.0
26,BYU,37.4,68.6,47.8
27,Illinois St.,37.4,75.1,47.3
28,Texas Tech,37.4,77.0,43.7
29,Western Illinois,37.4,69.2,37.1
30,Jacksonville,37.4,67.7,34.2
31,Purdue Fort Wayne,37.4,75.5,45.7
32,Kentucky,37.3,73.7,42.1
33,Cornell,37.3,75.5,48.4
34,Miami OH,37.2,72.9,43.3
35,Canisius,37.2,75.3,41.0
36,Auburn,37.1,74.7,40.7
37,Lamar,37.0,70.4,32.8
38,Samford,37.0,71.9,47.0
39,Northern Iowa,36.9,69.7,36.3
41,High Point,36.9,76.8,39.5
42,Maryland,36.8,75.2,35.7
43,UC San Diego,36.8,74.5,49.1
44,Nebraska Omaha,36.7,73.5,38.9
45,Oregon St.,36.7,79.1,35.7
46,Butler,36.7,74.2,40.4
47,Chattanooga,36.6,76.4,45.7
48,Maine,36.6,74.2,34.3
49,UNC Greensboro,36.6,74.1,42.9
50,Oklahoma,36.6,79.1,42.2
51,Delaware,36.5,77.7,40.2
52,Little Rock,36.5,70.0,30.3
53,Northern Colorado,36.5,72.1,37.9
54,Lipscomb,36.5,78.4,46.7
55,Washington St.,36.4,71.0,41.4
56,Texas St.,36.4,76.4,28.2
57,Incarnate Word,36.3,68.0,36.4
58,Missouri St.,36.3,65.2,37.2
59,Binghamton,36.2,69.3,36.2
60,Lehigh,36.2,68.7,37.7
61,Virginia Tech,36.1,72.3,40.1
62,IU Indy,36.1,75.0,47.5
63,Utah St.,36.1,70.1,41.3
64,Nevada,36.0,69.8,37.0
65,Arizona St.,36.0,71.8,43.5
66,USC,36.0,73.6,33.8
67,Radford,36.0,75.5,36.4
68,UTSA,35.9,81.3,44.7
69,Presbyterian,35.9,69.1,34.4
70,North Texas,35.9,76.8,37.6
71,South Dakota St.,35.9,75.5,39.8
72,Notre Dame,35.8,74.7,37.9
73,Florida Gulf Coast,35.8,69.5,38.4
74,Providence,35.8,68.9,46.0
75,Montana,35.8,74.7,37.0
76,Texas,35.8,75.0,36.0
77,Long Beach St.,35.8,74.9,36.3
78,Temple,35.7,73.6,31.3
79,Mercyhurst,35.7,80.7,36.4
80,Stonehill,35.7,72.5,44.9
82,Akron,35.6,74.2,45.6
83,Drake,35.6,71.2,36.6
84,Idaho,35.6,76.0,48.1
85,Bellarmine,35.6,76.6,43.2
86,UT Arlington,35.5,66.3,42.1
87,San Jose St.,35.5,72.7,40.5
88,Colgate,35.5,73.2,42.3
89,Nicholls,35.5,68.8,37.0
90,Wisconsin,35.4,83.3,47.8
91,Dayton,35.4,75.3,40.5
92,Wyoming,35.4,65.5,40.0
93,Connecticut,35.4,78.2,43.2
94,Florida Atlantic,35.4,70.8,40.6
95,Iowa St.,35.4,75.0,36.1
96,Florida,35.4,71.2,43.5
97,Bucknell,35.3,66.3,41.0
98,Gonzaga,35.3,80.3,34.0
99,Coastal Carolina,35.3,69.4,38.9
100,Charleston,35.3,71.1,39.8
101,Colorado St.,35.3,78.3,43.1
102,Monmouth,35.3,74.4,34.4
103,Ball St.,35.3,70.0,37.3
104,UCLA,35.2,70.5,35.6
105,Baylor,35.2,74.2,40.6
106,Southern Indiana,35.2,73.9,33.5
107,Boston College,35.1,72.3,32.7
108,Alabama,35.1,72.0,47.2
109,Southeast Missouri,35.1,71.6,35.8
110,Delaware St.,35.1,72.5,20.5
111,Southern Illinois,35.0,68.0,33.6
112,North Florida,35.0,67.9,54.0
113,Sacred Heart,35.0,73.4,43.8
114,Mississippi,34.9,73.3,41.0
115,Indiana St.,34.9,75.8,50.3
116,Ohio,34.9,76.1,40.9
117,Eastern Kentucky,34.9,77.3,42.6
118,Pittsburgh,34.9,78.2,41.4
119,Furman,34.8,69.0,50.9
120,Loyola Chicago,34.8,66.5,41.6
