,team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
0,Abilene Christian,WAC,0.658385093167702,0.326086956521739,0.39142091152814995,0.2771084337349401,0.6507936507936508,0.5082644628099174,0.5882352941176472,0.5147058823529411,1.0,0.5706214689265536,1.0,0.35000000000000003,0.3466666666666667,0.6141975308641976,0.46720214190093706,0.3681318681318681,0.16541353383458635,0.5420168067226894,0.13813813813813813,0.3381226053639847
1,Air Force,MWC,0.3478260869565224,0.3543478260869566,0.6407506702412871,0.4819277108433737,0.6507936507936508,0.2024793388429751,0.5176470588235293,0.7499999999999996,0.3851851851851851,0.42937853107344637,0.5377906976744187,0.5166666666666667,0.5466666666666666,0.4567901234567901,0.6532797858099062,0.49175824175824173,0.48120300751879697,0.18907563025210106,0.8348348348348349,0.5376756066411239
2,Akron,MAC,0.7826086956521738,0.6760869565217391,0.5254691689008042,0.8012048192771082,0.32539682539682546,0.628099173553719,0.18039215686274512,0.375,0.48888888888888893,0.42937853107344637,0.48837209302325596,0.0,0.14666666666666672,0.7685185185185186,0.31994645247657294,0.3846153846153845,0.744360902255639,0.6680672268907566,0.7417417417417418,0.23786717752234993
3,Alabama,SEC,1.0,0.9543478260869567,0.2439678284182305,0.8614457831325302,0.33333333333333337,0.6983471074380166,0.7019607843137254,0.25735294117647056,0.22222222222222232,0.44067796610169485,0.49418604651162795,0.85,0.6133333333333334,0.7530864197530867,0.5863453815261044,0.8214285714285714,0.6240601503759398,0.5294117647058822,0.7657657657657659,1.0
4,Alabama A&M,SWAC,0.7577639751552798,0.20434782608695667,0.7506702412868633,0.1807228915662651,0.7460317460317459,0.6652892561983469,0.6431372549019607,0.7279411764705879,0.7777777777777777,0.7457627118644068,0.8662790697674418,0.48333333333333334,0.48000000000000004,0.9166666666666667,0.45247657295850063,0.23626373626373623,0.3082706766917296,0.32352941176470607,0.6276276276276278,0.06673052362707532
5,Alabama St.,SWAC,0.5527950310559007,0.4086956521739131,0.619302949061662,0.3012048192771086,0.05555555555555547,0.43388429752066104,0.3019607843137255,0.4338235294117645,0.6000000000000001,0.5480225988700567,0.6337209302325582,0.38333333333333336,0.5333333333333333,0.6820987654320989,0.7737617135207496,0.44505494505494503,0.46616541353383445,0.4537815126050422,0.6666666666666667,0.09993614303959131
6,Albany,AE,0.5403726708074537,0.4478260869565218,0.6648793565683646,0.4337349397590362,0.25396825396825384,0.6033057851239668,0.28627450980392166,0.7794117647058818,0.6888888888888889,0.3954802259887005,0.5174418604651163,0.15000000000000002,0.18666666666666668,0.31481481481481494,0.22757697456492637,0.6318681318681317,0.37593984962406024,0.5630252100840338,0.45945945945945943,0.13984674329501914
7,Alcorn St.,SWAC,0.3602484472049685,0.326086956521739,0.6621983914209117,0.24096385542168708,0.5634920634920636,0.652892561983471,0.32156862745098036,0.6323529411764706,0.577777777777778,0.6271186440677967,0.4244186046511628,0.18333333333333335,0.16000000000000003,0.6111111111111112,0.3159303882195449,0.26098901098901095,0.3834586466165413,0.5462184873949583,0.26726726726726735,0.22286079182630908
8,American,PL,0.29192546583850953,0.423913043478261,0.5495978552278822,0.5843373493975901,0.3412698412698413,0.2479338842975206,0.28627450980392166,0.5661764705882355,0.5259259259259261,0.3389830508474576,0.5,0.3666666666666667,0.32,0.5679012345679013,1.0,0.6978021978021978,0.6315789473684212,0.710084033613446,0.7237237237237237,0.15134099616858238
9,Appalachian St.,SB,0.2670807453416151,0.40217391304347827,0.38069705093833806,0.4578313253012052,0.3492063492063492,0.40082644628099173,0.5098039215686274,0.125,0.3111111111111111,0.4576271186440679,0.15406976744186046,0.7166666666666667,0.5866666666666667,0.35802469135802467,0.30522088353413657,0.6126373626373626,0.5488721804511281,0.27310924369747935,0.6126126126126128,0.27330779054916987
10,Arizona,B12,0.6894409937888204,0.8673913043478263,0.24932975871313667,0.6506024096385543,0.2936507936507936,0.7479338842975206,0.5647058823529412,0.30882352941176494,0.45185185185185195,0.4011299435028248,0.35755813953488375,0.5166666666666667,0.5066666666666667,0.47839506172839513,0.5100401606425703,0.7472527472527473,0.4285714285714284,0.8151260504201683,0.41741741741741745,0.9007024265644955
11,Arizona St.,B12,0.5962732919254661,0.6500000000000001,0.36997319034852527,0.5602409638554215,0.39682539682539686,0.30578512396694213,0.5372549019607842,0.4485294117647056,0.40740740740740744,0.5084745762711864,0.41569767441860467,0.6666666666666667,0.52,0.4660493827160494,0.22757697456492637,0.5631868131868131,0.6842105263157894,0.5630252100840338,0.6636636636636637,0.8751596424010217
